Frame: 15, ID: 2, Type: car, X: -0.12, Z: 1.92, Speed: 0.00, SCF: 512.3845, Avg_SCF: 495.8967
Frame: 15, ID: 5, Type: car, X: -0.02, Z: 1.32, Speed: 0.00, SCF: 486.8067, Avg_SCF: 495.8967
Frame: 15, ID: 7, Type: car, X: 0.41, Z: 1.99, Speed: 0.00, SCF: 490.1906, Avg_SCF: 495.8967
Frame: 15, ID: 9, Type: car, X: 0.34, Z: 1.58, Speed: 0.00, SCF: 484.9016, Avg_SCF: 495.8967
Frame: 15, ID: 10, Type: car, X: 0.17, Z: 2.59, Speed: 0.00, SCF: 513.8329, Avg_SCF: 495.8967
Frame: 15, ID: 11, Type: car, X: -0.35, Z: 1.39, Speed: 0.00, SCF: 473.0608, Avg_SCF: 495.8967
Frame: 16, ID: 1, Type: car, X: 0.04, Z: 1.78, Speed: 0.00, SCF: 510.0809, Avg_SCF: 495.7316
Frame: 16, ID: 2, Type: car, X: -0.12, Z: 1.91, Speed: 0.00, SCF: 512.3148, Avg_SCF: 495.7316
Frame: 16, ID: 5, Type: car, X: -0.02, Z: 1.31, Speed: 0.00, SCF: 486.5178, Avg_SCF: 495.7316
Frame: 16, ID: 7, Type: car, X: 0.42, Z: 1.99, Speed: 0.00, SCF: 489.3475, Avg_SCF: 495.7316
Frame: 16, ID: 9, Type: car, X: 0.34, Z: 1.59, Speed: 0.00, SCF: 484.8394, Avg_SCF: 495.7316
Frame: 16, ID: 10, Type: car, X: 0.17, Z: 2.58, Speed: 0.00, SCF: 513.9604, Avg_SCF: 495.7316
Frame: 16, ID: 11, Type: car, X: -0.35, Z: 1.39, Speed: 0.00, SCF: 473.0608, Avg_SCF: 495.7316
Frame: 17, ID: 1, Type: car, X: 0.04, Z: 1.78, Speed: 0.00, SCF: 510.0645, Avg_SCF: 499.3177
Frame: 17, ID: 2, Type: car, X: -0.12, Z: 1.90, Speed: 0.00, SCF: 512.1152, Avg_SCF: 499.3177
Frame: 17, ID: 5, Type: car, X: -0.02, Z: 1.31, Speed: 0.00, SCF: 486.3629, Avg_SCF: 499.3177
Frame: 17, ID: 7, Type: car, X: 0.43, Z: 1.99, Speed: 0.00, SCF: 488.5100, Avg_SCF: 499.3177
Frame: 17, ID: 9, Type: car, X: 0.34, Z: 1.58, Speed: 0.00, SCF: 484.5812, Avg_SCF: 499.3177
